feature,importance
fighter_1_age_vs_prime,0.054198424624967684
age_advantage,0.04852290466883841
striking_differential_gap,0.033524671648200034
fighter_1_losses,0.030367297650462963
fighter_1_striking_differential,0.030322821632162763
fighter_1_similar_opponent_win_rate,0.028454749742876016
fighter_1_age,0.02819477357283403
fighter_2_reach_cm,0.023560411693547695
fighter_1_weighted_opponent_quality,0.02295239230010926
fighter_2_avg_strikes_per_round,0.022419564790971066
fighter_1_past_prime,0.017855398193929565
fighter_2_striking_volume,0.017601415112883313
fighter_2_pace_score,0.017214727826644714
fighter_1_fighting_age,0.01604064697482841
scheduled_rounds,0.016028131822548697
fighter_1_control_dominance,0.015386704407977285
fighter_2_age,0.014086798111031933
record_quality_difference,0.012424477583026236
fighter_1_elo_uncertainty,0.012366575869116363
reach_advantage,0.012286101517306436
fighter_1_avg_striking_accuracy,0.011824365230487436
pressure_differential,0.01115851421564003
fighter_2_striking_differential,0.010623050415349264
fighter_1_outcome_variance,0.010566016675184324
fighter_1_win_percentage,0.00980598394476357
fighter_2_pressure_score,0.009786069167074207
fighter_1_style_specific_performance,0.009284214321871117
fighter_1_takedown_success_rate,0.009041386834210291
fighter_2_age_vs_prime,0.008898410148822452
fighter_1_avg_opponent_win_rate,0.008672350272908491
fighter_2_last_3_avg_fight_time,0.008656550958659723
fighter_2_striker_score,0.008647648795914842
fighter_1_avg_control_time,0.008307326998538953
fighter_2_weight_lbs,0.008064035374052288
fighter_1_grappling_volume,0.00800966534426695
fighter_1_total_fights,0.008001204699982724
fighter_1_striker_score,0.0076610629242611404
fighter_1_elo_trend,0.007610138555610852
fighter_1_pace_score,0.007493272660728052
fighter_2_last_5_avg_fight_time,0.007463286958704487
control_dominance_gap,0.007193257899984393
experience_x_winrate,0.007172887119546483
fighter_1_fights_per_year,0.007086774449987918
reach_x_striking_acc,0.0069876957431930994
fighter_1_first_round_finish_rate,0.006751519397287733
fighter_1_weight_lbs,0.0066431839124346595
win_rate_gap,0.006452385173376469
fighter_1_days_since_last_fight,0.006299371622496466
fighter_1_last_5_win_rate,0.00619222022645608
fighter_1_elo_rating,0.006047636224432591
fighter_1_current_streak,0.005813875013249613
fighter_2_volume_x_finishing,0.005695739789629772
fighter_1_loss_streak,0.005568492849149073
fighter_2_weighted_opponent_quality,0.00555214502083471
elo_delta,0.005540732546767613
fighter_1_avg_takedown_accuracy,0.005526346550106274
fighter_1_last_3_win_rate,0.005475839504984327
fighter_2_takedown_success_rate,0.0054723366474763
fighter_1_average_fight_duration,0.005385396028800917
fighter_1_finish_variance,0.005361846284125063
fighter_1_reach_cm,0.005245022908195241
fighter_2_avg_opponent_win_rate,0.004829289108926532
age_x_activity,0.004772468144291241
fighter_1_height_cm,0.004759768779422792
fighter_2_grappling_volume,0.004710811957932095
fighter_1_elo_peak,0.004687276327681579
fighter_2_elo_trend,0.004507054361303101
fighter_2_height_cm,0.004338938334101986
fighter_2_late_finish_rate,0.0043234825629249905
fighter_2_similar_opponent_win_rate,0.004186443080574865
fighter_1_avg_strikes_per_round,0.004170834346728339
fighter_1_performance_consistency,0.003925643224999959
fighter_2_fights_per_year,0.003915211192740397
fighter_2_past_prime,0.0038909875497280437
experience_advantage,0.0038233398331322856
fighter_2_avg_striking_accuracy,0.0038165962416223374
style_mismatch_score,0.003728436999145358
fighter_2_damage_efficiency,0.0037035701688862654
fighter_1_decision_rate,0.0036938160939490616
fighter_1_damage_efficiency,0.003693525341931367
fighter_2_avg_takedown_accuracy,0.0035904568608476017
fighter_2_average_fight_duration,0.0034753602297087553
fighter_2_elo_peak,0.003374790208301127
fighter_2_elo_uncertainty,0.0032773664208686393
fighter_2_days_since_last_fight,0.0032647551081651472
fighter_1_last_2_win_rate,0.003234009196389961
fighter_1_finishing_ability,0.003217901905944509
fighter_2_fighting_age,0.003215359487785383
elo_uncertainty_sum,0.003200766375155252
fighter_2_elo_rating,0.0031320820785670942
fighter_2_decision_rate,0.0030888186850317107
fighter_1_strength_of_schedule,0.0030656901993088297
fighter_1_vs_winning_record,0.0029848675275522753
fighter_2_win_percentage,0.002982646710245615
pressure_x_control,0.002976980118730396
fighter_2_momentum_score,0.0027493332745115867
fighter_2_performance_consistency,0.0026359955245081057
significant_reach_advantage,0.0026211637437873387
height_x_td_defense,0.002560623098878959
fighter_1_striking_volume,0.0025436438889548784
fighter_1_last_5_avg_fight_time,0.0025310540503055497
fighter_2_submission_threat,0.0023197370702972412
fighter_2_strength_of_schedule,0.0022450494957224378
fighter_1_submission_rate,0.0022243158337146435
fighter_1_volume_x_finishing,0.002191823967541168
fighter_2_finish_variance,0.002188943770305259
fighter_2_streak_regression_risk,0.002081124149108848
fighter_2_avg_control_time,0.0020666012312401693
fighter_1_bad_losses,0.0019169577289033046
fighter_1_ko_rate,0.0018969385896103065
fighter_2_wins,0.001843431096352402
fighter_1_age_x_rust,0.0018344488658859014
fighter_2_first_round_finish_rate,0.0017840991046358626
fighter_2_win_streak,0.0017545199828998504
fighter_1_submission_threat,0.0016960544389607462
fighter_1_recent_activity,0.0016724754920779137
fighter_2_ko_rate,0.0016039971021168467
fighter_1_last_2_avg_fight_time,0.0015859803008581002
fighter_1_pressure_score,0.0015362525425072575
fighter_1_last_3_avg_fight_time,0.0014960194987350681
momentum_x_elo,0.0014893066097681977
fighter_2_last_5_win_rate,0.001481320945963297
fighter_2_current_streak,0.0014632211136563482
finishing_ability_gap,0.001445751019827363
fighter_2_layoff_category,0.0014266282400640063
fighter_1_vs_elite_opponents,0.001408829832069044
fighter_2_vs_elite_opponents,0.001305785025224404
fighter_2_last_2_avg_fight_time,0.001290917178860067
fighter_1_wins,0.0012725676397905008
fighter_2_last_2_win_rate,0.001252474954877274
fighter_2_outcome_variance,0.0012517996129633644
fighter_1_ring_rust_penalty,0.001251210974244746
height_advantage,0.0011976599016830334
fighter_2_recent_activity,0.0011708041548395458
fighter_2_style_specific_performance,0.0010944390442901874
exploitable_mismatch,0.0010184711806765067
fighter_2_peak_performance,0.0010122361342597308
fighter_1_short_turnaround,0.0009611595354500293
fighter_1_last_2_finish_rate,0.0009320391890064841
fighter_1_last_5_finish_rate,0.0009161596970196982
fighter_1_streak_regression_risk,0.0009050823767569837
fighter_2_vs_winning_record,0.0008843671542991898
fighter_1_layoff_category,0.0008712107127066741
southpaw_advantage,0.0008592622062541838
fighter_2_total_fights,0.000847219602049464
fighter_2_stance_southpaw,0.0008448647725413308
fighter_2_last_3_finish_rate,0.0007784303231342441
fighter_1_peak_performance,0.0007619404501937862
fighter_1_streak_pressure,0.0007496884724653088
fighter_2_submission_rate,0.0007427877499789448
fighter_2_recent_volatility,0.0006364331300766254
fighter_1_stance_switch,0.0005450300463606062
fighter_1_last_3_finish_rate,0.0005232339806342574
fighter_2_losses,0.0005153447785142265
fighter_2_age_x_rust,0.0005085178440399
fighter_1_quality_wins,0.0005019448119864444
fighter_2_loss_streak,0.0004863249395265588
fighter_2_last_5_finish_rate,0.0004482569358456376
fighter_2_control_dominance,0.0004460748298794417
title_fight,0.00039538764452503943
fighter_1_momentum_score,0.0003546605593558828
fighter_1_late_finish_rate,0.0003482384093092878
fighter_2_bad_losses,0.0002881819404161206
fighter_1_stance_southpaw,0.00023719877956362702
gender_male,0.00021638569353106226
fighter_2_finishing_ability,0.000126644832708841
fighter_2_short_turnaround,0.00012183596681109422
fighter_2_ring_rust_penalty,0.00011738668619787985
fighter_2_stance_switch,0.00010246140867742688
fighter_2_last_3_win_rate,9.844407347830262e-05
fighter_1_recent_volatility,9.673999008296121e-05
orthodox_vs_southpaw,4.479350163750123e-06
significant_height_advantage,3.889031818933061e-06
fighter_2_stance_orthodox,1.090772728649252e-06
fighter_1_stance_orthodox,0.0
fighter_1_stance_open_stance,0.0
fighter_2_stance_open_stance,0.0
fighter_1_draws,0.0
fighter_2_last_2_finish_rate,0.0
fighter_2_draws,0.0
fighter_1_win_streak,0.0
major_experience_gap,0.0
fighter_2_quality_wins,0.0
elo_favorite,0.0
short_notice_fight,0.0
fighter_2_streak_pressure,0.0
